direction,frame_id,frame_name,cycle_ms,dlc,signal_name,target,start_bit,bit_length,endianness,signed,factor,offset,min,max,default,unit,counter_bits,crc,comment
rx,0x100,ACTUATOR_CMD_1,10,8,system_enable,actuator_cmd,0,1,little,FALSE,1,0,0,1,0,bool,,,
rx,0x100,ACTUATOR_CMD_1,10,8,mode,actuator_cmd,1,3,little,FALSE,1,0,0,7,0,enum,,,
rx,0x100,ACTUATOR_CMD_1,10,8,steer_cmd_deg,actuator_cmd,8,16,little,TRUE,0.1,0,-500,500,0,deg,,,
rx,0x100,ACTUATOR_CMD_1,10,8,drive_torque_cmd_nm,actuator_cmd,24,16,little,TRUE,1,0,-4000,4000,0,Nm,,,
rx,0x100,ACTUATOR_CMD_1,10,8,brake_cmd_pct,actuator_cmd,40,8,little,FALSE,0.5,0,0,100,0,%,,,
tx,0x200,IMU_ACC,5,8,imu_ax_mps2,sensor_out,0,16,little,TRUE,0.01,0,-50,50,0,m/s2,,,
tx,0x200,IMU_ACC,5,8,imu_ay_mps2,sensor_out,16,16,little,TRUE,0.01,0,-50,50,0,m/s2,,,
tx,0x200,IMU_ACC,5,8,imu_az_mps2,sensor_out,32,16,little,TRUE,0.01,0,-50,50,0,m/s2,,,
tx,0x200,IMU_ACC,5,8,imu_temp_c,sensor_out,48,16,little,TRUE,0.01,0,-40,125,25,C,,,
tx,0x201,IMU_GYR,5,8,imu_gx_rps,sensor_out,0,16,little,TRUE,0.001,0,-10,10,0,rad/s,,,
tx,0x201,IMU_GYR,5,8,imu_gy_rps,sensor_out,16,16,little,TRUE,0.001,0,-10,10,0,rad/s,,,
tx,0x201,IMU_GYR,5,8,imu_gz_rps,sensor_out,32,16,little,TRUE,0.001,0,-10,10,0,rad/s,,,
tx,0x201,IMU_GYR,5,8,imu_status,sensor_out,48,8,little,FALSE,1,0,0,255,0,flags,,,
tx,0x210,GNSS_LL,100,8,gnss_lat_deg,sensor_out,0,32,little,TRUE,1.00E-07,0,-90,90,0,deg,,,
tx,0x210,GNSS_LL,100,8,gnss_lon_deg,sensor_out,32,32,little,TRUE,1.00E-07,0,-180,180,0,deg,,,
tx,0x211,GNSS_AV,100,8,gnss_alt_m,sensor_out,0,16,little,TRUE,0.1,-1000,-1000,8000,0,m,,,
tx,0x211,GNSS_AV,100,8,gnss_vn_mps,sensor_out,16,16,little,TRUE,0.01,0,-200,200,0,m/s,,,
tx,0x211,GNSS_AV,100,8,gnss_ve_mps,sensor_out,32,16,little,TRUE,0.01,0,-200,200,0,m/s,,,
tx,0x211,GNSS_AV,100,8,gnss_fix_type,sensor_out,48,8,little,FALSE,1,0,0,10,0,enum,,,
tx,0x211,GNSS_AV,100,8,gnss_sat_count,sensor_out,56,8,little,FALSE,1,0,0,255,0,count,,,
tx,0x220,WHEELS_1,10,8,wheel_fl_rps,sensor_out,0,16,little,TRUE,0.01,0,-300,300,0,rad/s,,,
tx,0x220,WHEELS_1,10,8,wheel_fr_rps,sensor_out,16,16,little,TRUE,0.01,0,-300,300,0,rad/s,,,
tx,0x220,WHEELS_1,10,8,wheel_rl_rps,sensor_out,32,16,little,TRUE,0.01,0,-300,300,0,rad/s,,,
tx,0x220,WHEELS_1,10,8,wheel_rr_rps,sensor_out,48,16,little,TRUE,0.01,0,-300,300,0,rad/s,,,
tx,0x221,STEER_STATE,10,8,steer_deg,sensor_out,0,16,little,TRUE,0.1,0,-500,500,0,deg,,,
tx,0x221,STEER_STATE,10,8,steer_rate_dps,sensor_out,16,16,little,TRUE,0.1,0,-1000,1000,0,deg/s,,,
tx,0x221,STEER_STATE,10,8,steer_fault,sensor_out,32,8,little,FALSE,1,0,0,255,0,flags,,,
tx,0x230,BATT_STATE,50,8,batt_v,sensor_out,0,16,little,FALSE,0.1,0,0,1000,0,V,,,
tx,0x230,BATT_STATE,50,8,batt_i,sensor_out,16,16,little,TRUE,0.1,0,-2000,2000,0,A,,,
tx,0x230,BATT_STATE,50,8,batt_soc_pct,sensor_out,32,8,little,FALSE,0.5,0,0,100,50,%,,,
tx,0x230,BATT_STATE,50,8,batt_temp_c,sensor_out,40,8,little,FALSE,1,-40,-40,125,25,C,,,
tx,0x230,BATT_STATE,50,8,batt_contactor_on,sensor_out,48,1,little,FALSE,1,0,0,1,1,bool,,,
tx,0x240,RADAR_1,50,8,radar_target_range_m,sensor_out,0,16,little,FALSE,0.1,0,0,1000,0,m,,,
tx,0x240,RADAR_1,50,8,radar_target_rel_vel_mps,sensor_out,16,16,little,TRUE,0.01,0,-200,200,0,m/s,,,
tx,0x240,RADAR_1,50,8,radar_target_angle_deg,sensor_out,32,16,little,TRUE,0.1,0,-90,90,0,deg,,,
tx,0x240,RADAR_1,50,8,radar_status,sensor_out,48,8,little,FALSE,1,0,0,255,0,flags,,,
